state,date,death,hospitalized,positive
AK,2021-03-07,305,1293,56886
AL,2021-03-07,10148,45976,499819
AR,2021-03-07,5319,14926,324818
AS,2021-03-07,0,,0
AZ,2021-03-07,16328,57907,826454
CA,2021-03-07,54124,,3501394
CO,2021-03-07,5989,23904,436602
CT,2021-03-07,7704,,285330
DC,2021-03-07,1030,,41419
DE,2021-03-07,1473,,88354
FL,2021-03-07,32266,82237,1909209
GA,2021-03-07,17906,56797,1023487
GU,2021-03-07,133,,7749
HI,2021-03-07,445,2226,28699
IA,2021-03-07,5558,,282384
ID,2021-03-07,1879,7184,172931
IL,2021-03-07,23014,,1198335
IN,2021-03-07,12737,43217,667262
KS,2021-03-07,4812,9387,295861
KY,2021-03-07,4819,19457,410709
LA,2021-03-07,9748,,433785
MA,2021-03-07,16417,19713,591356
MD,2021-03-07,7955,35651,387319
ME,2021-03-07,706,1570,45794
MI,2021-03-07,16658,,656072
MN,2021-03-07,6550,25978,490011
MO,2021-03-07,8161,,480643
MP,2021-03-07,2,4,145
MS,2021-03-07,6808,9162,297581
MT,2021-03-07,1381,4630,100914
NC,2021-03-07,11502,,872176
ND,2021-03-07,1478,3880,100391
NE,2021-03-07,2113,6237,203026
NH,2021-03-07,1184,1131,76861
NJ,2021-03-07,23574,64396,812609
NM,2021-03-07,3808,13252,186922
NV,2021-03-07,5037,,296190
NY,2021-03-07,39029,,1681169
OH,2021-03-07,17656,50881,978471
OK,2021-03-07,4534,24332,428997
OR,2021-03-07,2296,8714,157079
PA,2021-03-07,24349,,948643
PR,2021-03-07,2062,,101632
RI,2021-03-07,2547,9020,128781
SC,2021-03-07,8754,20725,525865
SD,2021-03-07,1900,6705,113589
TN,2021-03-07,11543,18870,782206
TX,2021-03-07,44451,,2686818
UT,2021-03-07,1976,14891,374850
VA,2021-03-07,9596,24661,585700
VI,2021-03-07,25,,2714
VT,2021-03-07,208,,16083
WA,2021-03-07,5041,19599,344532
WI,2021-03-07,7106,26457,621654
WV,2021-03-07,2325,,133445
WY,2021-03-07,682,1391,54764
AK,2021-03-06,305,1293,56886
AL,2021-03-06,10149,45976,499411
AR,2021-03-06,5297,14915,324653
AS,2021-03-06,0,,0
AZ,2021-03-06,16323,57863,825119
CA,2021-03-06,53866,,3497578
CO,2021-03-06,5986,23886,435762
CT,2021-03-06,7704,,285330
DC,2021-03-06,1030,,41273
DE,2021-03-06,1464,,88139
FL,2021-03-06,32200,82145,1905185
GA,2021-03-06,17905,56762,1021778
GU,2021-03-06,133,,7749
HI,2021-03-06,444,2226,28646
IA,2021-03-06,5552,,282127
ID,2021-03-06,1876,7179,172827
IL,2021-03-06,23002,,1197267
IN,2021-03-06,12726,43153,666516
KS,2021-03-06,4812,9387,295861
KY,2021-03-06,4806,19451,410184
LA,2021-03-06,9716,,433045
MA,2021-03-06,16374,19713,589931
MD,2021-03-06,7941,35572,386610
ME,2021-03-06,704,1566,45635
MI,2021-03-06,16658,,656072
MN,2021-03-06,6546,25976,489116
MO,2021-03-06,8161,,480352
MP,2021-03-06,2,4,144
MS,2021-03-06,6805,9162,297321
MT,2021-03-06,1381,4629,100842
NC,2021-03-06,11502,,872176
ND,2021-03-06,1478,3878,100357
NE,2021-03-06,2113,6229,202653
NH,2021-03-06,1181,1127,76695
NJ,2021-03-06,23557,64338,810090
NM,2021-03-06,3796,13242,186742
NV,2021-03-06,5036,,295460
NY,2021-03-06,38970,,1674380
OH,2021-03-06,17656,50848,977736
OK,2021-03-06,4534,24277,428536
OR,2021-03-06,2293,8714,156884
